[F2](==,||);BATT
03:47:55;3185;7700,00
03:48:16;3189;7709,67
03:48:36;3188;7707,25
03:48:56;3188;7707,25
03:49:16;3187;7704,83
03:49:36;3188;7707,25
03:49:56;3186;7702,42
03:50:16;3187;7704,83
03:50:36;3188;7707,25
03:50:56;3188;7707,25
03:51:16;3185;7700,00
03:51:36;3186;7702,42
03:51:56;3185;7700,00
03:52:16;3184;7697,58
03:52:36;3183;7695,17
03:52:56;3185;7700,00
03:53:16;3184;7697,58
03:53:36;3186;7702,42
03:53:56;3185;7700,00
03:54:16;3183;7695,17
03:54:36;3186;7702,42
03:54:56;3184;7697,58
03:55:16;3184;7697,58
03:55:36;3182;7692,75
03:55:56;3182;7692,75
03:56:16;3182;7692,75
03:56:36;3183;7695,17
03:56:56;3183;7695,17
03:57:16;3183;7695,17
03:57:36;3182;7692,75
03:57:56;3180;7687,91
03:58:16;3181;7690,33
03:58:36;3182;7692,75
03:58:56;3180;7687,91
03:59:16;3183;7695,17
03:59:36;3181;7690,33
03:59:56;3182;7692,75
04:00:16;3181;7690,33
04:00:36;3181;7690,33
04:00:56;3182;7692,75
04:01:16;3181;7690,33
04:01:36;3182;7692,75
04:01:56;3182;7692,75
04:02:16;3181;7690,33
04:02:36;3179;7685,49
04:02:56;3178;7683,08
04:03:16;3179;7685,49
04:03:36;3180;7687,91
04:03:56;3179;7685,49
04:04:16;3177;7680,66
04:04:36;3178;7683,08
04:04:56;3178;7683,08
04:05:16;3179;7685,49
04:05:36;3179;7685,49
04:05:56;3180;7687,91
04:06:16;3177;7680,66
04:06:36;3178;7683,08
04:06:56;3178;7683,08
04:07:16;3179;7685,49
04:07:36;3178;7683,08
04:07:56;3178;7683,08
04:08:16;3178;7683,08
04:08:36;3177;7680,66
04:08:56;3177;7680,66
04:09:16;3177;7680,66
04:09:36;3176;7678,24
04:09:56;3175;7675,82
04:10:16;3178;7683,08
04:10:36;3178;7683,08
04:10:56;3177;7680,66
04:11:16;3176;7678,24
04:11:36;3177;7680,66
04:11:56;3175;7675,82
04:12:16;3178;7683,08
04:12:36;3177;7680,66
04:12:56;3176;7678,24
04:13:16;3177;7680,66
04:13:36;3174;7673,41
04:13:56;3177;7680,66
04:14:16;3175;7675,82
04:14:36;3175;7675,82
04:14:56;3176;7678,24
04:15:16;3177;7680,66
04:15:36;3173;7670,99
04:15:56;3174;7673,41
04:16:16;3174;7673,41
04:16:36;3173;7670,99
04:16:56;3175;7675,82
04:17:16;3174;7673,41
04:17:36;3173;7670,99
04:17:56;3174;7673,41
04:18:16;3172;7668,57
04:18:36;3171;7666,15
04:18:56;3172;7668,57
04:19:16;3172;7668,57
04:19:36;3173;7670,99
04:19:56;3173;7670,99
04:20:16;3173;7670,99
04:20:36;3172;7668,57
04:20:56;3173;7670,99
04:21:16;3170;7663,74
04:21:36;3172;7668,57
04:21:56;3170;7663,74
04:22:16;3170;7663,74
04:22:36;3172;7668,57
04:22:56;3170;7663,74
04:23:16;3170;7663,74
04:23:36;3170;7663,74
04:23:56;3171;7666,15
04:24:16;3171;7666,15
04:24:36;3170;7663,74
04:24:56;3168;7658,90
04:25:16;3168;7658,90
04:25:36;3171;7666,15
04:25:56;3166;7654,07
04:26:16;3168;7658,90
04:26:36;3169;7661,32
04:26:56;3168;7658,90
04:27:16;3170;7663,74
04:27:36;3166;7654,07
04:27:56;3168;7658,90
04:28:16;3167;7656,48
04:28:36;3165;7651,65
04:28:56;3165;7651,65
04:29:16;3167;7656,48
04:29:36;3166;7654,07
04:29:56;3165;7651,65
04:30:16;3169;7661,32
04:30:36;3166;7654,07
04:30:56;3165;7651,65
04:31:16;3166;7654,07
04:31:36;3165;7651,65
04:31:56;3163;7646,81
04:32:16;3164;7649,23
04:32:36;3165;7651,65
04:32:56;3165;7651,65
04:33:16;3164;7649,23
04:33:36;3162;7644,40
04:33:56;3165;7651,65
04:34:16;3164;7649,23
04:34:36;3164;7649,23
04:34:56;3164;7649,23
04:35:16;3162;7644,40
04:35:36;3162;7644,40
04:35:56;3161;7641,98
04:36:16;3164;7649,23
04:36:36;3162;7644,40
04:36:56;3162;7644,40
04:37:16;3164;7649,23
04:37:36;3163;7646,81
04:37:56;3163;7646,81
04:38:16;3163;7646,81
04:38:36;3165;7651,65
04:38:56;3163;7646,81
04:39:16;3162;7644,40
04:39:36;3161;7641,98
04:39:56;3161;7641,98
04:40:16;3161;7641,98
04:40:36;3162;7644,40
04:40:56;3160;7639,56
04:41:16;3160;7639,56
04:41:36;3163;7646,81
04:41:56;3160;7639,56
04:42:16;3161;7641,98
04:42:36;3160;7639,56
04:42:56;3161;7641,98
04:43:16;3161;7641,98
04:43:36;3159;7637,14
04:43:56;3162;7644,40
04:44:16;3160;7639,56
04:44:36;3160;7639,56
04:44:56;3160;7639,56
04:45:16;3160;7639,56
04:45:36;3160;7639,56
04:45:56;3159;7637,14
04:46:16;3159;7637,14
04:46:36;3158;7634,73
04:46:56;3158;7634,73
04:47:17;3158;7634,73
04:47:37;3158;7634,73
04:47:57;3155;7627,47
04:48:17;3159;7637,14
04:48:37;3157;7632,31
04:48:57;3156;7629,89
04:49:17;3158;7634,73
04:49:37;3157;7632,31
04:49:57;3157;7632,31
04:50:17;3157;7632,31
04:50:37;3157;7632,31
04:50:57;3157;7632,31
04:51:17;3156;7629,89
04:51:37;3155;7627,47
04:51:57;3155;7627,47
04:52:17;3155;7627,47
04:52:37;3156;7629,89
04:52:57;3156;7629,89
04:53:17;3155;7627,47
04:53:37;3155;7627,47
04:53:57;3153;7622,64
04:54:17;3154;7625,06
04:54:37;3155;7627,47
04:54:57;3155;7627,47
04:55:17;3155;7627,47
04:55:37;3152;7620,22
04:55:57;3151;7617,80
04:56:17;3152;7620,22
04:56:37;3152;7620,22
04:56:57;3152;7620,22
04:57:17;3153;7622,64
04:57:37;3151;7617,80
04:57:57;3154;7625,06
04:58:17;3154;7625,06
04:58:37;3154;7625,06
04:58:57;3155;7627,47
04:59:17;3152;7620,22
04:59:37;3150;7615,38
04:59:57;3152;7620,22
05:00:17;3152;7620,22
05:00:37;3150;7615,38
05:00:57;3150;7615,38
05:01:17;3150;7615,38
05:01:37;3150;7615,38
05:01:57;3150;7615,38
05:02:17;3151;7617,80
05:02:37;3149;7612,97
05:02:58;3149;7612,97
05:03:18;3150;7615,38
05:03:38;3151;7617,80
05:03:58;3147;7608,13
05:04:18;3148;7610,55
05:04:38;3148;7610,55
05:04:58;3148;7610,55
05:05:18;3148;7610,55
05:05:38;3150;7615,38
05:05:58;3146;7605,71
05:06:18;3148;7610,55
05:06:38;3148;7610,55
05:06:58;3148;7610,55
05:07:18;3147;7608,13
05:07:38;3147;7608,13
05:07:58;3147;7608,13
05:08:18;3147;7608,13
05:08:38;3147;7608,13
05:08:58;3147;7608,13
05:09:18;3146;7605,71
05:09:38;3146;7605,71
05:09:58;3146;7605,71
05:10:18;3147;7608,13
05:10:38;3146;7605,71
05:10:58;3145;7603,30
05:11:18;3146;7605,71
05:11:38;3146;7605,71
05:11:58;3145;7603,30
05:12:18;3144;7600,88
05:12:38;3147;7608,13
05:12:58;3144;7600,88
05:13:18;3144;7600,88
05:13:38;3145;7603,30
05:13:58;3145;7603,30
05:14:18;3144;7600,88
05:14:38;3144;7600,88
05:14:58;3143;7598,46
05:15:18;3144;7600,88
05:15:38;3144;7600,88
05:15:58;3144;7600,88
05:16:18;3145;7603,30
05:16:38;3144;7600,88
05:16:58;3143;7598,46
05:17:18;3145;7603,30
05:17:38;3144;7600,88
05:17:58;3142;7596,04
05:18:18;3144;7600,88
05:18:38;3144;7600,88
05:18:58;3142;7596,04
05:19:18;3142;7596,04
